,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
314,005180,KR7005180005,빙그레,KOSPI,,93400,1,2600,2.86,92000,94000,91000,116659,10817963600,892502660200,9555703,STK
315,353200,KR7353200009,대덕전자,KOSPI,,17990,1,60,0.33,18040,18220,17710,344230,6208105095,889010480750,49416925,STK
316,039130,KR7039130000,하나투어,KOSPI,,56900,2,-300,-0.52,57000,57400,56500,56124,3200325000,881377130800,15489932,STK
317,052400,KR7052400009,코나아이,KOSDAQ,우량기업부,60100,2,-1100,-1.8,60600,60700,59500,117167,7037085650,875253789100,14563291,KSQ
318,000670,KR7000670000,영풍,KOSPI,,45750,2,-400,-0.87,46000,47500,45400,22982,1056146775,874211587500,19108450,STK
319,049770,KR7049770001,동원F&B,KOSPI,,45000,1,1000,2.27,43850,45000,42800,58070,2553021325,868302900000,19295620,STK
320,003470,KR7003470002,유안타증권,KOSPI,,4230,1,200,4.96,4195,4340,4100,3316641,13977370306,844293516480,199596576,STK
321,041190,KR7041190000,우리기술투자,KOSDAQ,벤처기업부,10000,1,330,3.41,9980,10080,9610,3054564,30047686175,840000000000,84000000,KSQ
322,025980,KR7025980004,아난티,KOSDAQ,우량기업부,9440,2,-160,-1.67,9500,9570,9320,804515,7600296575,836662272320,88629478,KSQ
323,077970,KR7077970002,STX엔진,KOSPI,,20800,1,100,0.48,21000,21150,20600,106894,2219965425,835079710400,40148063,STK
324,009410,KR7009410002,태영건설,KOSPI,,2835,1,60,2.16,2775,2845,2760,64670,181318548,834816422790,294467874,STK
325,214320,KR7214320004,이노션,KOSPI,,20850,1,300,1.46,20650,21000,20400,93745,1954304825,834000000000,40000000,STK
326,388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,72500,3,0,0.0,72500,73600,71800,60353,4372072150,832519385000,11483026,KSQ
327,007700,KR7007700008,F&F홀딩스,KOSPI,,21150,1,700,3.42,20700,21350,20450,77327,1618879575,827268862050,39114367,STK
328,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,39450,2,-850,-2.11,40400,40700,39300,54789,2171582000,827032009200,20964056,KSQ
329,499790,KR7499790004,GS피앤엘,KOSPI,,41550,1,600,1.47,41200,43150,39900,266705,11020249150,823971443550,19830841,STK
330,000070,KR7000070003,삼양홀딩스,KOSPI,,94500,1,3900,4.3,91800,95700,90700,74579,6974080850,823125334500,8710321,STK
331,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,22900,1,150,0.66,22950,23400,22700,83541,1916433775,822310604000,35908760,KSQ
332,001530,KR7001530005,DI동일,KOSPI,,41650,3,0,0.0,42150,42650,41350,60091,2514584700,821153365550,19715567,STK
333,086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,18120,1,250,1.4,17870,18520,17810,223899,4074603735,813293278200,44883735,KSQ
334,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,9910,2,-130,-1.29,10050,10080,9880,263934,2621548720,813069418500,82045350,KSQ
335,161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,35500,2,-500,-1.39,36150,36400,35200,187969,6677829550,812443486000,22885732,KSQ
336,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,30550,1,450,1.5,30250,31100,30150,318446,9795409625,811327470200,26557364,KSQ
337,248070,KR7248070005,솔루엠,KOSPI,,16850,1,160,0.96,16740,17320,16720,176652,3014045050,805703576600,47816236,STK
338,323280,KR7323280008,태성,KOSDAQ,중견기업부,26400,2,-650,-2.4,26800,27050,26200,107073,2844215300,805219272000,30500730,KSQ
339,001680,KR7001680008,대상,KOSPI,,23200,1,100,0.43,23300,23400,23050,96561,2243872175,803834180000,34648025,STK
340,475150,KR7475150009,SK이터닉스,KOSPI,,23550,2,-350,-1.46,23800,24150,23450,309119,7331141200,794907689100,33754042,STK
