,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
394,001630,KR7001630003,종근당홀딩스,KOSPI,,56200,3,0,0.0,56700,56700,56000,2023,114083500,283057146500,5009861,STK
395,001270,KR7001270008,부국증권,KOSPI,,27350,2,-100,-0.36,27450,27550,27200,13275,361926150,282060899200,10369886,STK
396,034120,KR7034120006,SBS,KOSPI,,15160,2,-110,-0.72,15200,15280,15130,28790,437410670,281793305220,18551238,STK
397,009680,KR7009680000,모토닉,KOSPI,,8500,3,0,0.0,8500,8580,8460,13616,115791810,280500000000,33000000,STK
398,001500,KR7001500008,현대차증권,KOSPI,,8750,2,-150,-1.69,8900,8950,8720,36293,318896100,277167791880,31712562,STK
399,015360,KR7015360001,예스코홀딩스,KOSPI,,46800,3,0,0.0,46800,47000,45350,11407,525959650,276600000000,6000000,STK
400,010690,KR7010690006,화신,KOSPI,,7900,2,-130,-1.62,8130,8130,7870,155407,1236193310,276220443100,34920410,STK
401,298690,KR7298690009,에어부산,KOSPI,,2370,2,-15,-0.63,2365,2435,2360,76181,181918925,275853600000,116640000,STK
402,035150,KR7035150002,백산,KOSPI,,12830,3,0,0.0,12800,12960,12720,34416,441093030,275845000000,21500000,STK
403,001390,KR7001390004,KG케미칼,KOSPI,,4025,1,5,0.12,4020,4100,4000,121091,490645810,275587886000,68469040,STK
404,272550,KR7272550005,삼양패키징,KOSPI,,17330,2,-150,-0.86,17470,17490,17280,6580,113923400,273933441850,15788671,STK
405,006220,KR7006220008,제주은행,KOSPI,,8520,1,60,0.71,8370,8530,8320,158184,1329951700,273737154480,32128774,STK
406,334890,KR7334890001,이지스밸류리츠,KOSPI,,5320,2,-20,-0.37,5340,5380,5270,103831,554123010,273679255080,51443469,STK
407,452260,KR7452260003,한화갤러리아,KOSPI,,1410,2,-111,-7.3,1510,1529,1405,2795175,4083280334,273342050100,193859610,STK
408,012030,KR7012030003,DB,KOSPI,,1333,2,-2,-0.15,1313,1350,1313,942637,1259344769,268567200555,201173933,STK
409,024720,KR7024720005,콜마홀딩스,KOSPI,,7760,2,-70,-0.89,7830,8070,7710,123646,974315800,266481932430,34296259,STK
410,006390,KR7006390009,한일현대시멘트,KOSPI,,13740,1,10,0.07,13740,13880,13670,9202,126567890,265562213280,19327672,STK
411,034830,KR7034830000,한국토지신탁,KOSPI,,1048,2,-9,-0.85,1056,1058,1030,216508,227046016,263598756120,252489230,STK
412,009160,KR7009160003,SIMPAC,KOSPI,,4010,2,-10,-0.25,4035,4040,3965,39895,158863655,262699506740,65429516,STK
413,000480,KR7000480004,CR홀딩스,KOSPI,,5520,2,-40,-0.72,5560,5600,5500,9160,50610980,259773314600,46890490,STK
414,017390,KR7017390006,서울가스,KOSPI,,52100,2,-200,-0.38,52500,52500,51800,3340,173971200,259500000000,5000000,STK
415,000520,KR7000520007,삼일제약,KOSPI,,11940,1,1020,9.34,11020,12820,10910,3638862,44581772170,257870556060,21597199,STK
416,226320,KR7226320000,잇츠한불,KOSPI,,11700,1,50,0.43,11800,12010,11660,10238,121219390,256572985500,21929315,STK
417,001790,KR7001790005,대한제당,KOSPI,,2825,2,-5,-0.18,2830,2855,2825,149757,425024555,255186770100,89696580,STK
418,009470,KR7009470006,삼화전기,KOSPI,,38550,1,950,2.53,37950,39500,37800,98355,3820737900,254962761000,6613820,STK
419,007570,KR7007570005,일양약품,KOSPI,,13180,2,-170,-1.27,13340,13500,13110,30052,397389100,251739908160,19085664,STK
