,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
276,204620,KR7204620009,글로벌텍스프리,KOSDAQ,중견기업부,3705,1,100,2.77,3675,3770,3650,243850,905925080,226434909675,61116035,KSQ
277,357550,KR7357550003,석경에이티,KOSDAQ,기술성장기업부,41450,2,-50,-0.12,41450,42800,41000,2003,82784650,226109750000,5455000,KSQ
278,102710,KR7102710001,이엔에프테크놀로지,KOSDAQ,우량기업부,15810,1,1080,7.33,14740,16200,14550,250419,3841206420,225890687160,14287836,KSQ
279,052400,KR7052400009,코나아이,KOSDAQ,우량기업부,15130,2,-120,-0.79,15000,15440,14930,24535,371325720,225436984870,14899999,KSQ
280,462350,KR7462350000,이노스페이스,KOSDAQ,기술성장기업부,24000,1,2550,11.89,22500,24450,22100,566887,13313675450,225016656000,9375694,KSQ
281,297890,KR7297890006,HB솔루션,KOSDAQ,우량기업부,3075,1,20,0.65,3040,3290,3040,724893,2259538420,224908310550,73140914,KSQ
282,024060,KR7024060006,흥구석유,KOSDAQ,중견기업부,14930,1,10,0.07,14900,15070,14570,305000,4532588290,223950000000,15000000,KSQ
283,060150,KR7060150000,인선이엔티,KOSDAQ,우량기업부,4800,2,-10,-0.21,4780,4945,4780,56029,271634755,223505337600,46563612,KSQ
284,437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,7040,2,-440,-5.88,7450,7600,7010,402410,2930733030,223221271680,31707567,KSQ
285,416180,KR7416180008,신성에스티,KOSDAQ,중견기업부,24650,2,-200,-0.8,25000,26150,24300,99941,2510922550,222830527700,9039778,KSQ
286,305090,KR7305090003,마이크로디지탈,KOSDAQ,기술성장기업부,13370,1,30,0.22,13340,13720,13080,175462,2356265510,221365619300,16556890,KSQ
287,101930,KR7101930006,인화정공,KOSDAQ,중견기업부,22950,1,50,0.22,22900,23200,22850,19090,439574550,220681072350,9615733,KSQ
288,104830,KR7104830005,원익머트리얼즈,KOSDAQ,우량기업부,17410,2,-540,-3.01,17950,18160,17340,116188,2059561990,219505280000,12608000,KSQ
289,044490,KR7044490001,태웅,KOSDAQ,우량기업부,10910,2,-2500,-18.64,13400,13860,10830,941363,10816028070,218280526710,20007381,KSQ
290,071280,KR7071280002,로체시스템즈,KOSDAQ,우량기업부,14200,2,-90,-0.63,14290,14510,13650,79153,1117446710,217211762600,15296603,KSQ
291,336680,KR7336680004,탑런토탈솔루션,KOSDAQ,중견기업부,11080,2,-780,-6.58,11950,11980,11040,348707,3979101590,216866391320,19572779,KSQ
292,057880,KR7057880007,푸른소나무,KOSDAQ,관리종목(소속부없음),8790,0,0,0.0,0,0,0,0,0,216061434720,24580368,KSQ
293,102940,KR7102940004,코오롱생명과학,KOSDAQ,중견기업부,17370,1,70,0.4,17120,17560,17120,11703,203592970,215794232190,12423387,KSQ
294,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,16530,2,-370,-2.19,16830,17040,16480,38829,647560940,215777082450,13053665,KSQ
295,054950,KR7054950001,제이브이엠,KOSDAQ,우량기업부,17800,2,-570,-3.1,18370,18480,17800,91997,1656332850,215200077600,12089892,KSQ
296,126700,KR7126700004,하이비젼시스템,KOSDAQ,우량기업부,14400,2,-920,-6.01,15330,15570,14400,351414,5231081140,215166412800,14942112,KSQ
297,402030,KR7402030001,코난테크놀로지,KOSDAQ,기술성장기업부,18760,1,610,3.36,18240,19060,17800,65644,1211756780,214856178880,11452888,KSQ
298,394280,KR7394280002,오픈엣지테크놀로지,KOSDAQ,기술성장기업부,9800,2,-190,-1.9,10100,10200,9790,132947,1327075630,214362818600,21873757,KSQ
299,092040,KR7092040005,아미코젠,KOSDAQ,기술성장기업부,3895,2,-115,-2.87,4010,4220,3885,294102,1176940850,214296461565,55018347,KSQ
300,013120,KR7013120001,동원개발,KOSDAQ,우량기업부,2355,2,-90,-3.68,2445,2445,2335,207805,495441010,213853075500,90808100,KSQ
301,056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,5700,2,-280,-4.68,5980,5980,5500,1010512,5749014680,213819266400,37512152,KSQ
302,068930,KR7068930007,디지털대성,KOSDAQ,우량기업부,7700,2,-90,-1.16,7830,7830,7300,42344,323047020,213100133400,27675342,KSQ
303,474170,KR7474170008,루미르,KOSDAQ,기술성장기업부,12420,1,1350,12.2,11120,13570,10920,10853708,138262254960,213061324320,17154696,KSQ
304,263720,KR7263720005,디앤씨미디어,KOSDAQ,우량기업부,16990,1,380,2.29,16430,17160,16430,19758,332052950,212790796270,12524473,KSQ
305,148150,KR7148150006,세경하이테크,KOSDAQ,우량기업부,5910,2,-280,-4.52,6170,6400,5890,447774,2706599700,211935135390,35860429,KSQ
306,182360,KR7182360008,큐브엔터,KOSDAQ,우량기업부,14500,1,580,4.17,14390,14600,13980,60780,870179520,211287576500,14571557,KSQ
307,036890,KR7036890002,진성티이씨,KOSDAQ,우량기업부,9370,1,340,3.77,9000,9390,8930,157242,1450695160,210658851160,22482268,KSQ
308,950130,KR8840090003,엑세스바이오,KOSDAQ,외국기업(소속부없음),5570,1,330,6.3,5180,5640,5180,172703,935759480,210144024240,37727832,KSQ
309,110990,KR7110990009,디아이티,KOSDAQ,우량기업부,11100,2,-190,-1.68,11170,11470,11070,81254,911667530,209790000000,18900000,KSQ
310,209640,KR7209640002,와이제이링크,KOSDAQ,벤처기업부,14740,2,-610,-3.97,15320,15960,14600,2139025,32805013850,209625986020,14221573,KSQ
311,086390,KR7086390002,유니테스트,KOSDAQ,중견기업부,9870,1,30,0.3,9750,10070,9690,124466,1226572490,208593823620,21134126,KSQ
312,064260,KR7064260003,다날,KOSDAQ,우량기업부,3025,1,10,0.33,3010,3060,2990,337077,1017299335,208570846000,68949040,KSQ
313,457550,KR7457550002,우진엔텍,KOSDAQ,중견기업부,22450,1,1450,6.9,21600,22600,21150,552928,12086370750,208141560550,9271339,KSQ
314,299900,KR7299900001,위지윅스튜디오,KOSDAQ,우량기업부,1208,2,-2,-0.17,1212,1223,1192,734467,886611223,206627051872,171048884,KSQ
